Link	Date	Error_Count
https://www.inklingsnews.com/b/2017/09/19/the-bar-method-fuses-fitness-and-safety-in-new-location/	2017-09-19	1
https://www.inklingsnews.com/b/2017/06/16/harvard-revokes-acceptance-of-ten-prospective-students-due-to-offensive-meme-page/	2017-06-16	2
https://www.inklingsnews.com/b/2017/06/14/cookie-craving-delivers-a-sweet-surprise/	2017-06-14	1
https://www.inklingsnews.com/b/2017/06/14/kelly-griffin-flips-her-way-to-junior-olympic-nationals/	2017-06-14	0
https://www.inklingsnews.com/b/2017/06/14/the-westport-youth-commission-improves-the-representation-of-young-adults/	2017-06-14	0
https://www.inklingsnews.com/b/2017/06/14/ap-environmental-project-helps-earth-and-the-public/	2017-06-14	1
https://www.inklingsnews.com/b/2017/06/14/gleicher-and-diamond-programming-legacy-continues/	2017-06-14	5
https://www.inklingsnews.com/b/2017/06/14/westport-dog-festival/	2017-06-14	0
https://www.inklingsnews.com/b/2017/06/14/carvel-vs-shake-shack-which-milkshake-is-better/	2017-06-14	0
https://www.inklingsnews.com/b/2017/06/14/levitt-concert-behind-the-scenes/	2017-06-14	0
https://www.inklingsnews.com/b/2017/06/13/english-students-use-comedy-to-critique/	2017-06-13	2
https://www.inklingsnews.com/b/2017/06/12/57683/	2017-06-12	0
https://www.inklingsnews.com/b/2017/06/12/preparing-for-finals/	2017-06-12	0
https://www.inklingsnews.com/b/2017/06/10/promoting-mindfulness-and-decreasing-stress-with-the-zen-den/	2017-06-10	2
https://www.inklingsnews.com/b/2017/06/09/devils-den-popularizes-as-summer-draws-near/	2017-06-09	2
https://www.inklingsnews.com/b/2017/06/09/combating-finals-stress-with-wellness-activities/	2017-06-09	2
https://www.inklingsnews.com/b/2017/06/08/by-the-piano-with-claire-hague-rogers/	2017-06-08	0
https://www.inklingsnews.com/b/2017/06/08/girls-field-hockey-takes-the-game-to-bermuda/	2017-06-08	2
https://www.inklingsnews.com/b/2017/06/06/manchester-attack-raises-concern-about-gov-ball/	2017-06-06	1
https://www.inklingsnews.com/b/2017/06/05/the-handmaids-tale-warns-of-the-dangers-of-complacency/	2017-06-05	1
https://www.inklingsnews.com/b/2017/06/04/the-athletic-performance-center-drives-female-athletes-to-success-2/	2017-06-04	0
https://www.inklingsnews.com/b/2017/06/01/seniors-swap-their-books-for-new-internship-opportunities/	2017-06-01	1
https://www.inklingsnews.com/b/2017/06/01/the-athletic-performance-center-drives-female-athletes-to-success/	2017-06-01	2
https://www.inklingsnews.com/b/2017/06/01/dgsfsadv/	2017-06-01	0
https://www.inklingsnews.com/b/2017/06/01/isabelle-amlicke-takes-on-extra-extracurriculars/	2017-06-01	1
https://www.inklingsnews.com/b/2017/06/01/students-step-out-of-the-box-to-create-unthinkable-promposals/	2017-06-01	2
https://www.inklingsnews.com/b/2017/05/26/new-t-a-g-leadership-announced-with-the-departure-of-the-senior-class/	2017-05-26	2
https://www.inklingsnews.com/b/2017/05/22/hot-off-the-press-broadway-hit-newsies-selects-staples-high-school-as-testing-ground-for-national-high-school-rollout/	2017-05-22	1
https://www.inklingsnews.com/b/2017/05/22/senior-year-may-end-but-the-shirts-will-last-forever/	2017-05-22	2
https://www.inklingsnews.com/b/2017/05/22/tv-dreams-turn-into-a-reality-2/	2017-05-22	0
https://www.inklingsnews.com/b/2017/05/19/students-differ-on-perspectives-toward-ap-exams/	2017-05-19	2
https://www.inklingsnews.com/b/2017/05/19/wwpt-brings-home-the-gold-from-the-drury-awards-in-seven-categories/	2017-05-19	1
https://www.inklingsnews.com/b/2017/05/19/summer-semesters-have-students-starting-early/	2017-05-19	2
https://www.inklingsnews.com/b/2017/05/19/tv-dreams-turn-into-a-reality/	2017-05-19	0
https://www.inklingsnews.com/b/2017/05/18/volunteers-learn-how-to-save-lives/	2017-05-18	0
https://www.inklingsnews.com/b/2017/05/15/lake-mohegan-attracts-fairfield-county-dog-owners-serving-as-a-hidden-gem/	2017-05-15	0
https://www.inklingsnews.com/b/2017/05/14/students-powerful-pieces-secure-statewide-recognition/	2017-05-14	2
https://www.inklingsnews.com/b/2017/05/10/taste-of-westport-2017/	2017-05-10	0
https://www.inklingsnews.com/b/2017/05/10/netflix-series-13-reasons-why-sparks-debate-among-staples-community/	2017-05-10	0
https://www.inklingsnews.com/b/2017/05/08/aux-delices-opening-a-second-location/	2017-05-08	0
https://www.inklingsnews.com/b/2017/05/08/brownies-with-a-twist-two-ways-to-make-a-brownie-in-a-cup/	2017-05-08	1
https://www.inklingsnews.com/b/2017/05/08/best-locations-to-learn-how-to-drive/	2017-05-08	0
https://www.inklingsnews.com/b/2017/05/08/return-of-the-nerf-guns-a-p-assassination-soon-to-come/	2017-05-08	3
